序号,日期,Training Contract,Protection Contract,Engagement Contract,Military Contract,生产日期,收入,工资,广告费,利润,总效率,产量,销量,库存,单价,成本,记录时间
1,2023/4/23,500000,3000000,8000000,9000000,2023/4/24,$8000000,$5580000,$700000,$1720000,560,1,1,0,$8000000.0,0,2023/4/24 16:50:25
2,2023/4/24,500000,3000000,8000000,9000000,2023/4/24,$8000000,$5580000,$700000,$1720000,560,1,1,0,$8000000.0,0,2023/4/24 16:50:57
3,2023/4/25,500000,3000000,8000000,9000000,2023/4/25,$8000000,$2080000,$700000,$5220000,528,1,1,0,$8000000.0,0,2023/4/25 3:0:8
4,2023/4/26,500000,3000000,6000000,8000000,2023/4/26,$3500000,$1390000,$700000,$1410000,321,2,2,0,$1750000.0,0,2023/4/26 3:0:8
5,2023/4/27,1000000,3000000,6000000,8000000,2023/4/27,$6000000,$4070000,$700000,$1230000,641,1,1,0,$6000000.0,0,2023/4/27 3:6:22
6,2023/4/28,1000000,3000000,6000000,8000000,2023/4/28,$6000000,$4070000,$1000000,$930000,651,1,1,0,$6000000.0,0,2023/4/28 3:0:7
7,2023/4/29,1000000,3000000,8000000,10000000,2023/4/29,$10000000,$4420000,$600000,$4980000,708,1,1,0,$10000000.0,0,2023/4/29 3:0:7
8,2023/5/4,1000000,3000000,10000000,16000000,2023/5/4,$16000000,$5500000,$700000,$9800000,753,1,1,0,$16000000.0,0,2023/5/4 14:1:45
9,2023/5/18,500000,3000000,12000000,26000000,2023/5/18,$25000000,$8800000,$650000,$15550000,1146,1,1,0,$25000000.0,0,2023/5/18 17:47:21
10,2023/5/22,500000,3000000,12000000,26500000,2023/5/22,$15000000,$8850000,$650000,$5500000,1134,2,2,0,$7500000.0,0,2023/5/22 2:29:0
11,2023/5/23,500000,3000000,12000000,26000000,2023/5/23,$26000000,$8850000,$650000,$16500000,1107,1,1,0,$26000000.0,0,2023/5/23 3:0:7
12,2023/5/25,500000,3000000,12000000,28500000,2023/5/25,$15000000,$8850000,$900000,$5250000,1101,2,2,0,$7500000.0,0,2023/5/25 3:0:9
13,2023/5/26,500000,3000000,12000000,27000000,2023/5/26,$15000000,$9250000,$750000,$5000000,1038,2,2,0,$7500000.0,0,2023/5/26 1:45:10
